tasks,edges,width_peak,depth_avg,Pbar,burstiness,cp_frac,seed
24.0,192.0,2.0,21.0,1.0937647702625237,1.75,0.9142733677187113,100034
22.0,162.0,3.0,18.0,1.178197579895372,2.454545454545454,0.8487540774687412,100035
21.0,143.0,3.0,17.0,1.1929718074987548,2.4285714285714284,0.8382427763290154,100036
18.0,107.0,3.0,12.0,1.362661530237531,2.0,0.7338579521105921,100037
23.0,185.0,2.0,19.0,1.1930931293986842,1.6521739130434783,0.8381575380490184,100038
20.0,135.0,2.0,15.0,1.2387124538732086,1.5,0.8072898572006748,100039
16.0,79.0,3.0,12.0,1.2773611406315524,2.25,0.7828639592915598,100040
21.0,148.0,2.0,17.0,1.2288046922541822,1.619047619047619,0.8137989757880473,100041
22.0,159.0,2.0,18.0,1.2358530148044666,1.6363636363636362,0.8091577137579078,100042
13.0,49.0,2.0,10.0,1.2547113698973202,1.5384615384615383,0.7969960454585148,100043
22.0,155.0,2.0,18.0,1.2034252483707553,1.6363636363636362,0.8309614588474353,100044
18.0,106.0,2.0,16.0,1.077774758775125,1.7777777777777777,0.9278376505462841,100045
15.0,74.0,3.0,11.0,1.3028091479312436,2.2,0.7675721356331584,100046
19.0,119.0,2.0,17.0,1.1214625958354125,1.7894736842105263,0.8916926910567791,100047
23.0,172.0,2.0,19.0,1.1587146376407285,1.6521739130434783,0.8630252587782191,100048
14.0,59.0,2.0,12.0,1.1315255078691602,1.7142857142857142,0.8837626664582725,100049
19.0,117.0,3.0,15.0,1.1598680100707985,2.368421052631579,0.8621670666983564,100050
24.0,196.0,2.0,18.0,1.2331325400442588,1.5,0.8109428366589927,100051
23.0,172.0,2.0,18.0,1.2886843793553526,1.565217391304348,0.7759851954597579,100052
15.0,71.0,2.0,13.0,1.1586741409057741,1.7333333333333334,0.8630554223107687,100053
24.0,194.0,2.0,21.0,1.109773029550618,1.75,0.9010851528847582,100054
12.0,38.0,2.0,10.0,1.1663080233630494,1.6666666666666667,0.8574064312071692,100055
14.0,61.0,2.0,13.0,1.043689722142526,1.8571428571428572,0.9581391660609264,100056
15.0,73.0,2.0,13.0,1.190763942493672,1.7333333333333334,0.839797011241222,100057
18.0,103.0,3.0,14.0,1.2787628764179317,2.333333333333333,0.7820058108045788,100058
13.0,55.0,2.0,11.0,1.0884073401617564,1.6923076923076923,0.9187736641424915,100059
21.0,140.0,2.0,15.0,1.3157594304469848,1.4285714285714286,0.7600173533700486,100060
18.0,97.0,2.0,16.0,1.1822153922582326,1.7777777777777777,0.8458695484329889,100061
18.0,97.0,2.0,13.0,1.2888658076768247,1.4444444444444444,0.7758759632257572,100062
14.0,55.0,3.0,9.0,1.4554403800514548,1.9285714285714286,0.6870772679569647,100063
23.0,178.0,2.0,19.0,1.1617745582246366,1.6521739130434783,0.8607521940643527,100064
15.0,71.0,2.0,13.0,1.1506397549740204,1.7333333333333334,0.8690817396819202,100065
18.0,105.0,3.0,12.0,1.3609904778646058,2.0,0.7347589981444985,100066
19.0,116.0,2.0,16.0,1.1723448007558495,1.6842105263157894,0.8529913719541101,100067
14.0,56.0,2.0,10.0,1.2595537169658984,1.4285714285714286,0.7939319987152834,100068
12.0,46.0,1.0,12.0,1.0,1.0,1.0,100069
15.0,66.0,3.0,9.0,1.569995765051084,1.7999999999999998,0.6369443932655846,100070
18.0,111.0,2.0,15.0,1.1837621236552671,1.6666666666666667,0.8447643154117491,100071
24.0,192.0,2.0,21.0,1.1170337965870503,1.75,0.8952280611879142,100072
24.0,195.0,3.0,19.0,1.2361868116621273,2.375,0.8089392238827074,100073
22.0,162.0,2.0,19.0,1.0885216244496014,1.7272727272727273,0.9186772017557655,100074
20.0,129.0,3.0,14.0,1.3523599554459294,2.1,0.7394481003175359,100075
14.0,67.0,2.0,13.0,1.0638146275025109,1.8571428571428572,0.9400133953296668,100076
15.0,66.0,2.0,14.0,1.0569576490924806,1.8666666666666667,0.9461117016926976,100077
17.0,90.0,2.0,14.0,1.1682853800241915,1.647058823529412,0.855955246122564,100078
21.0,140.0,2.0,14.0,1.3477467180166884,1.3333333333333333,0.741979176526266,100079
23.0,170.0,2.0,17.0,1.3110672951518325,1.4782608695652173,0.7627373542898053,100080
20.0,130.0,3.0,13.0,1.3979667845027453,1.95,0.7153245778694939,100081
23.0,175.0,2.0,17.0,1.323558334682359,1.4782608695652173,0.7555390448581855,100082
24.0,190.0,2.0,22.0,1.107545559406521,1.8333333333333335,0.9028973946099794,100083
18.0,99.0,3.0,13.0,1.3176692081047743,2.1666666666666665,0.7589158142644289,100084
13.0,50.0,2.0,11.0,1.1339330935158372,1.6923076923076923,0.8818862468326343,100085
19.0,117.0,2.0,16.0,1.1407880697437958,1.6842105263157894,0.8765870072822425,100086
18.0,98.0,2.0,14.0,1.1760095927932956,1.5555555555555554,0.8503331997698829,100087
20.0,121.0,2.0,14.0,1.3418108211987292,1.4,0.7452615407488168,100088
12.0,42.0,2.0,10.0,1.1976943744156043,1.6666666666666667,0.8349375444699185,100089
19.0,120.0,2.0,16.0,1.2674191979626712,1.6842105263157894,0.7890049334959282,100090
12.0,42.0,1.0,12.0,1.0,1.0,1.0,100091
19.0,116.0,2.0,15.0,1.2085159625011663,1.5789473684210527,0.8274611432772323,100092
18.0,103.0,2.0,13.0,1.361155007397855,1.4444444444444444,0.7346701841928482,100093
24.0,187.0,2.0,19.0,1.233462733631406,1.5833333333333335,0.8107257501456293,100094
19.0,123.0,3.0,14.0,1.3076837715910012,2.2105263157894735,0.7647108740849051,100095
23.0,179.0,2.0,20.0,1.1490237249978352,1.7391304347826089,0.8703040487713898,100096
13.0,44.0,2.0,10.0,1.2786094208582774,1.5384615384615383,0.7820996652196895,100097
17.0,88.0,2.0,12.0,1.3544201881714246,1.4117647058823528,0.7383233126125208,100098
21.0,152.0,2.0,18.0,1.132187162939689,1.7142857142857142,0.8832461917370013,100099
19.0,111.0,2.0,14.0,1.4233372874776322,1.4736842105263157,0.7025741605998044,100100
