tasks,edges,width_peak,depth_avg,Pbar,burstiness,cp_frac,seed
29.0,31.0,19.0,5.0,5.100050496001042,3.2758620689655173,0.19607648998457985,200024
24.0,24.0,18.0,3.0,7.0307468346257025,2.25,0.14223240055737796,200025
25.0,27.0,16.0,4.0,6.269491013209993,2.56,0.15950258129295858,200026
25.0,25.0,19.0,3.0,6.38039271969552,2.28,0.15673016441654414,200027
29.0,28.0,20.0,4.0,7.575507684515425,2.7586206896551726,0.13200435424863094,200028
30.0,32.0,22.0,3.0,7.084155331505155,2.2,0.14116008941146865,200029
26.0,27.0,18.0,5.0,4.000829862475442,3.4615384615384612,0.24994814435354865,200030
27.0,30.0,16.0,5.0,5.070339268662585,2.962962962962963,0.19722546106145916,200031
27.0,30.0,18.0,4.0,6.0451114762985805,2.6666666666666665,0.16542292130108074,200032
27.0,27.0,15.0,4.0,6.368984034068319,2.2222222222222223,0.15701091330279715,200033
24.0,23.0,21.0,3.0,7.912317927937794,2.625,0.12638521468773087,200034
29.0,30.0,19.0,5.0,5.0584361716966315,3.2758620689655173,0.1976895558345246,200035
29.0,31.0,19.0,4.0,6.0109267438621625,2.6206896551724137,0.16636369774779128,200036
28.0,29.0,19.0,4.0,7.292022824406656,2.7142857142857144,0.1371361587971125,200037
27.0,28.0,18.0,4.0,5.5493882085975645,2.6666666666666665,0.18020004411490234,200038
29.0,28.0,16.0,5.0,6.019214682354524,2.7586206896551726,0.16613462931161513,200039
30.0,29.0,22.0,5.0,5.320373271575506,3.6666666666666665,0.18795673704748786,200040
26.0,26.0,18.0,4.0,5.493109320785006,2.769230769230769,0.18204625861279827,200041
27.0,27.0,19.0,4.0,8.537370459541505,2.814814814814815,0.11713208472550041,200042
26.0,27.0,18.0,3.0,6.552205772394197,2.076923076923077,0.15262035942357113,200043
26.0,27.0,15.0,6.0,4.638703353637191,3.4615384615384617,0.21557748443126967,200044
27.0,29.0,14.0,5.0,5.5020010253820315,2.5925925925925926,0.18175205627675525,200045
27.0,30.0,20.0,5.0,5.106308541320235,3.7037037037037033,0.19583618810105238,200046
28.0,33.0,22.0,3.0,7.2055648643423345,2.357142857142857,0.13878162487282972,200047
28.0,29.0,21.0,3.0,7.523617433632308,2.25,0.13291478584886163,200048
30.0,32.0,17.0,4.0,5.476106963822886,2.2666666666666666,0.1826114804926851,200049
30.0,33.0,14.0,4.0,7.702168018938551,1.8666666666666667,0.12983357381209293,200050
30.0,29.0,19.0,4.0,7.227334983076973,2.533333333333333,0.13836358800879311,200051
26.0,27.0,19.0,4.0,5.369884532868358,2.923076923076923,0.18622374352355836,200052
24.0,24.0,20.0,3.0,9.323489398654027,2.5,0.10725598080739639,200053
25.0,26.0,17.0,6.0,5.824585192446883,4.08,0.17168604578000932,200054
28.0,29.0,14.0,4.0,4.9160535896838065,2.0,0.2034151950862518,200055
30.0,32.0,18.0,5.0,4.960701876560405,3.0,0.20158437755049466,200056
24.0,25.0,18.0,4.0,5.23637694615055,3.0,0.19097173681034102,200057
29.0,30.0,23.0,3.0,8.237396251508509,2.3793103448275863,0.12139758358921615,200058
27.0,27.0,20.0,4.0,6.89214318223876,2.962962962962963,0.1450927488820933,200059
27.0,28.0,18.0,3.0,8.348699700816116,2.0,0.11977913158168166,200060
28.0,31.0,18.0,4.0,7.403859513701273,2.5714285714285716,0.13506469134772772,200061
24.0,23.0,16.0,3.0,5.822136478486532,2.0,0.17175825467079237,200062
30.0,35.0,15.0,5.0,4.710071604139499,2.5,0.21231099737871048,200063
30.0,33.0,17.0,5.0,5.73335807493292,2.8333333333333335,0.17441785196918821,200064
27.0,27.0,21.0,4.0,5.4870148762355395,3.111111111111111,0.1822484579604543,200065
30.0,32.0,21.0,4.0,7.795309310107392,2.8,0.12828227337989023,200066
26.0,28.0,19.0,3.0,7.476191163453027,2.1923076923076925,0.13375794948749414,200067
29.0,31.0,19.0,4.0,6.27634927797834,2.6206896551724137,0.1593282903341077,200068
24.0,24.0,16.0,5.0,5.170271509728865,3.3333333333333335,0.19341344030353277,200069
26.0,26.0,17.0,3.0,7.078753405294897,1.9615384615384617,0.14126781125784116,200070
25.0,25.0,17.0,5.0,6.083008211478111,3.4,0.16439234754164664,200071
25.0,28.0,14.0,5.0,4.442627300248308,2.8,0.2250920305523058,200072
29.0,30.0,15.0,4.0,7.81245444371108,2.0689655172413794,0.12800074639859008,200073
28.0,30.0,21.0,4.0,6.306584266921326,3.0,0.15856443958817792,200074
26.0,26.0,18.0,4.0,7.0981049171000015,2.769230769230769,0.1408826738515665,200075
27.0,28.0,20.0,3.0,6.614916665700136,2.2222222222222223,0.15117348419296497,200076
30.0,36.0,17.0,6.0,4.96066864008358,3.4,0.20158572816569975,200077
30.0,34.0,18.0,5.0,5.96390227033287,3.0,0.1676754505140786,200078
29.0,32.0,16.0,6.0,5.260639732994914,3.3103448275862073,0.19009094915357264,200079
30.0,30.0,22.0,4.0,6.442787670599214,2.933333333333333,0.155212316644139,200080
27.0,27.0,17.0,3.0,7.321416565235031,1.8888888888888888,0.1365855898363158,200081
28.0,29.0,18.0,4.0,5.640100701457119,2.5714285714285716,0.1773017988387424,200082
30.0,32.0,20.0,3.0,7.056385505589884,2.0,0.14171561335584998,200083
28.0,31.0,17.0,4.0,5.980225259704756,2.4285714285714284,0.16721778136654503,200084
24.0,25.0,18.0,4.0,5.5425469896472,3.0,0.18042246675903292,200085
28.0,28.0,20.0,3.0,7.19841872972262,2.142857142857143,0.13891939848830293,200086
24.0,25.0,14.0,4.0,5.0047943349531225,2.3333333333333335,0.1998084103109037,200087
30.0,29.0,21.0,4.0,9.595003805049135,2.8,0.10422090708018006,200088
25.0,25.0,16.0,4.0,5.80926649500616,2.56,0.1721387718844769,200089
29.0,29.0,22.0,4.0,6.241450048949714,3.0344827586206895,0.16021917858147017,200090
29.0,30.0,21.0,4.0,6.75046893092295,2.896551724137931,0.14813785682638142,200091
30.0,29.0,20.0,4.0,7.21624307690872,2.6666666666666665,0.13857626320819255,200092
25.0,25.0,16.0,4.0,6.05696564447394,2.56,0.16509916989744658,200093
24.0,24.0,19.0,3.0,7.099236950581261,2.375,0.14086020891556852,200094
26.0,26.0,18.0,5.0,5.942946423849232,3.4615384615384612,0.16826670285752002,200095
26.0,26.0,16.0,4.0,7.3559954480115,2.4615384615384617,0.13594353164945525,200096
28.0,32.0,19.0,5.0,5.265735246193605,3.3928571428571432,0.18990700315266726,200097
26.0,26.0,18.0,4.0,7.2241834623255174,2.769230769230769,0.13842394856319065,200098
29.0,30.0,19.0,4.0,6.489967100791213,2.6206896551724137,0.15408398601559734,200099
25.0,26.0,18.0,4.0,6.809792679089606,2.88,0.14684734868223462,200100
